##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	11_2H_both_S9_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17919193
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1111	58-59	0.2374497936665776
1111	60-61	0.2143004090119902
1111	62-63	0.21325898641616448
1111	64-65	0.23134298614751003
1111	66-67	0.26047083799907256
1111	68-69	0.2986231458623294
1111	70-71	0.20976978429641235
1111	72-73	0.20945525470413884
1111	74-75	0.19843144961151182
1111	76-77	0.3424864146806996
1111	78-79	0.3592504393602951
1111	80-81	0.19936284216696265
1111	82-83	0.1456991853074996
1111	84-85	0.1900614730790906
1111	86-87	0.21724810146089624
1111	88-89	0.20364511599980517
1111	90-91	0.10315195761182139
1111	92-93	0.14064156504309722
1111	94-95	0.14606421425910554
1111	96-97	0.18284836830883933
1111	98-99	0.32251317707743254
1111	100-101	0.28156948703431084
1112	1	0.17923581339300654
1112	2	-0.051090380848719974
1112	3	0.007957402132163338
1112	4	0.079730262407395
1112	5	0.10525108681854078
1112	6	0.2253709109924813
1112	7	0.20191565699551006
1112	8	0.18687077258094575
1112	9	0.17201563418349508
1112	10-11	0.1840424529242526
1112	12-13	0.1755145952511512
1112	14-15	0.17045822299311908
1112	16-17	0.29222384756486264
1112	18-19	0.19343897748668581
1112	20-21	0.2297979099872407
1112	22-23	0.2298055188232837
1112	24-25	0.2762694239907617
1112	26-27	0.25928420960455867
1112	28-29	0.24849660055054557
1112	30-31	0.2422458071992324
1112	32-33	0.32715986029798927
1112	34-35	0.2740772851500495
1112	36-37	0.24195955184024598
1112	38-39	0.23546002838527613
1112	40-41	0.11885486286079328
1112	42-43	0.27471084708060545
1112	44-45	0.2257744102077126
1112	46-47	0.2675263932934513
1112	48-49	0.3370875180553128
1112	50-51	0.25413034063066675
1112	52-53	0.1984188065098138
1112	54-55	0.38587687941777915
1112	56-57	0.24122461223239355
1112	58-59	0.2453422464272066
1112	60-61	0.37683335421277064
1112	62-63	0.23925603724790534
1112	64-65	0.2920234599901619
1112	66-67	0.37055441525085797
1112	68-69	0.33690715931884796
1112	70-71	0.24155550852113095
1112	72-73	0.300400542467699
1112	74-75	0.3258522343341781
1112	76-77	0.3740689601388496
1112	78-79	0.4547370105984925
1112	80-81	0.2784088566809899
1112	82-83	0.2412064026176779
1112	84-85	0.33096698400672153
1112	86-87	0.3842891536325155
1112	88-89	0.3070866683104896
1112	90-91	0.2905699251728677
1112	92-93	0.27546389007638084
1112	94-95	0.2929080170353515
1112	96-97	0.2794315344604712
1112	98-99	0.3126962794695629
1112	100-101	0.18433557621805363
1113	1	0.07788731268397342
1113	2	0.07745177492060407
1113	3	0.19924217858456927
1113	4	0.1274658640120947
1113	5	0.09946780330532334
1113	6	0.235954834781829
1113	7	0.1681328623550229
1113	8	0.1851971119452145
1113	9	0.0973615655077964
1113	10-11	0.19565453790249876
1113	12-13	0.12404711648466105
1113	14-15	0.08973694564552659
1113	16-17	0.19042008339666694
1113	18-19	0.20710775710309548
1113	20-21	0.15899446952496987
1113	22-23	0.1419360215940273
1113	24-25	0.19788157305617915
1113	26-27	0.20014496691992179
1113	28-29	0.1872660722120898
1113	30-31	0.15325946322710848
1113	32-33	0.28856679040761435
1113	34-35	0.21026078459763653
1113	36-37	0.22697481728830127
1113	38-39	0.11132373079095004
1113	40-41	0.06723150189757376
1113	42-43	0.11314004504524178
1113	44-45	0.20174387688826556
1113	46-47	0.21042248042257938
1113	48-49	0.28985138400152977
1113	50-51	0.2638345438704519
1113	52-53	0.16392347271301588
